94374,Rockhampton,-23.38,150.48,10.4,IDQ60801
94376,Biloela,-24.49,150.57,193.1,IDQ60801
94377,Monto Township,-24.86,151.12,239,IDQ60801
94378,Rundle Island,-23.53,151.28,19.8,IDQ60701:IDQ60801
94379,Gannett Cay,-21.98,152.47,2.3,IDQ60701:IDQ60801
94380,Gladstone,-23.86,151.26,74.5,IDQ60701:IDQ60801
94381,Gladstone Airport,-23.87,151.22,16.6,IDQ60801
94383,Bowen Airport AWS,-20.02,148.21,5.9,IDQ60701:IDQ60801
94384,Seventeen Seventy,-24.16,151.89,41,IDQ60701:IDQ60801
94386,Heron Island,-23.44,151.91,3.3,IDQ60701:IDQ60801
94387,Bundaberg,-24.91,152.32,30.82,IDQ60701:IDQ60801
94388,Lady Elliot Island,-24.11,152.72,3.6,IDQ60701:IDQ60801
94390,Sandy Cape,-24.73,153.21,99.1,IDQ60701:IDQ60801
94393,Frederick Reef,-20.94,154.4,4.9,IDQ60701:IDQ60801
94394,Cato Island,-23.25,155.54,6.3,IDQ60701:IDQ60801
94395,Clermont Airport,-22.78,147.62,270.27,IDQ60801
94396,Rolleston Airport,-24.46,148.63,219.45,IDQ60801
94397,Moranbah Airport,-22.06,148.08,232.2,IDQ60801
94398,Blackwater Airport,-23.6,148.81,192.95,IDQ60801
94399,Lochington,-23.94,147.53,267.19,IDQ60801
94401,Kalbarri,-27.71,114.17,6,IDW60701:IDW60801
94402,Denham,-25.93,113.53,6,IDW60701:IDW60801
94403,Geraldton Airport,-28.8,114.7,29.7,IDW60701:IDW60801
94404,Paynes Find,-29.27,117.68,339,IDW60801
94405,North Island,-28.3,113.59,2.2,IDW60701:IDW60801
94407,Borrona Downs,-29.76,143.11,121,IDN60801
94410,Gascoyne Junction,-25.05,115.21,144,IDW60801
94411,Mullewa,-28.54,115.51,268,IDW60801
94415,Carnamah,-29.69,115.89,268,IDW60801
94417,Morawa Airport,-29.2,116.02,271.4,IDW60801
94418,Canungra (Defence),-28.04,153.19,108.15,IDQ60801:IDQ60901
94419,Greenbank (Defence),-27.69,152.99,41.46,IDQ60801:IDQ60901
94420,Tin Can Bay (Defence),-25.94,152.96,31.26,IDQ60801:IDQ60901
94422,Murchison,-26.9,115.96,287,IDW60801
94429,Mount Magnet Airport,-28.12,117.84,407,IDW60801
94430,Meekatharra,-26.61,118.54,517,IDW60801
94444,Bulga Downs,-28.5,119.74,438.5,IDW60801
94449,Laverton,-28.61,122.42,464.3,IDW60801
94450,Leonora Airport,-28.88,121.32,370,IDW60801
94451,Carnegie,-25.8,122.98,448,IDW60801
94457,Warburton,-26.13,126.58,459,IDD60801:IDW60801
94461,Giles*,-25.03,128.3,598,IDD60801:IDW60801
94462,Yulara,-25.19,130.97,492,IDD60801
94463,Curtin Springs,-25.31,131.76,489.6,IDD60801
94466,Kulgera,-25.84,133.3,508.6,IDD60801
94474,Ernabella/Pukatja,-26.26,132.18,703.2,IDD60801:IDS60801
94476,Oodnadatta,-27.56,135.45,116.5,IDS60801
94489,Windorah,-25.41,142.66,132.16,IDQ60801
94497,Wanaaring,-29.7,144.15,108,IDN60801
94498,Lightning Ridge,-29.43,147.97,154,IDN60801
94500,Cunnamulla,-28.07,145.68,188.77,IDQ60801
94510,Charleville,-26.41,146.26,301.6,IDQ60801
94511,Injune,-25.84,148.57,390.04,IDQ60801
94513,Bollon,-28.03,147.48,182.9,IDQ60801
94514,Mitchell,-26.49,147.98,336.5,IDQ60801
94515,Roma,-26.55,148.77,307.38,IDQ60801
94517,St George,-28.05,148.59,198.5,IDQ60801
94520,Mungindi,-28.98,148.99,160,IDN60801
94521,Surat,-27.16,149.07,245.7,IDQ60801
94525,Taroom,-25.64,149.8,199,IDQ60801
94530,Goondiwindi,0,0,0,IDN60801:IDQ60801
94541,Inverell RS,-29.78,151.08,664,IDN60801
94542,Dalby,-27.16,151.26,343.9,IDQ60801
94544,Pindari Dam,-29.39,151.24,462,IDN60801
94547,Maleny,0,0,0,IDQ60801
94549,Kingaroy,-26.57,151.84,433.67,IDQ60801:IDQ60901
94550,Stanthorpe,-28.66,151.93,784.19,IDQ60801
94552,Oakey,-27.4,151.74,405.69,IDQ60801:IDQ60901
94553,Applethorpe,-28.62,151.95,871.6,IDN60801:IDQ60801
94555,Warwick,-28.21,152.1,475.4,IDQ60801:IDQ60901
94556,Tenterfield,-29.05,152.02,838,IDN60801
94561,Redland (Alexandra Hills),-27.54,153.24,50.53,IDQ60701:IDQ60801:IDQ60901
94562,Gatton,-27.54,152.34,89,IDQ60801:IDQ60901
94564,Rainbow Beach,-25.9,153.09,14.4,IDQ60701:IDQ60801:IDQ60901
94566,Gympie,-26.18,152.64,64.5,IDQ60801:IDQ60901
94567,Maryborough,-25.51,152.72,8.98,IDQ60801
94568,Amberley,-27.63,152.71,24.2,IDQ60801:IDQ60901
94569,Sunshine Coast Airport,-26.6,153.09,3.42,IDQ60701:IDQ60801:IDQ60901
94570,Tewantin,-26.39,153.04,6.4,IDQ60701:IDQ60801:IDQ60901
94572,Lismore Airport,-28.83,153.26,9.21,IDN60801
94573,Casino,-28.88,153.06,20.9,IDN60801
94575,Archerfield,-27.57,153.01,12.5,IDQ60801:IDQ60901
94576,Brisbane,-27.48,153.04,8.13,IDQ60801:IDQ60901
94578,Brisbane Airport,-27.39,153.13,4.51,IDQ60701:IDQ60801:IDQ60901
94580,Gold Coast Seaway,-27.94,153.43,2.98,IDQ60701:IDQ60801:IDQ60901
94581,Spitfire Channel,-27.05,153.27,7,IDQ60701:IDQ60801:IDQ60901
94582,Murwillumbah,-28.34,153.38,8,IDN60801
94584,Double Island Point,-25.93,153.19,95.64,IDQ60701:IDQ60801:IDQ60901
94587,Tabulam,-28.76,152.45,555,IDN60801
94588,Glen Innes Airport,-29.68,151.69,1044.3,IDN60801
94589,Yamba,-29.43,153.36,27.4,IDN60701:IDN60801
94590,Inner Beacon,-27.26,153.24,10,IDQ60701:IDQ60801:IDQ60901
94591,Banana Bank,-27.53,153.33,7,IDQ60701:IDQ60801:IDQ60901
94592,Coolangatta,-28.17,153.51,4,IDN60701:IDN60801:IDQ60701:IDQ60801:IDQ60901
94593,Point Lookout,-27.44,153.55,41,IDQ60701:IDQ60801:IDQ60901
94594,Cape Moreton,-27.03,153.47,99.9,IDQ60701:IDQ60801:IDQ60901
94596,Ballina,-28.84,153.56,1.3,IDN60701:IDN60801
94598,Evans Head,-29.18,153.4,62.5,IDN60701:IDN60801
94599,Cape Byron,-28.64,153.64,95,IDN60701:IDN60801
94600,Cape Naturaliste,-33.54,115.02,109,IDW60701:IDW60801
94601,Cape Leeuwin,-34.37,115.14,13,IDW60701:IDW60801
94602,Rottnest Island,-32.01,115.5,43.1,IDW60701:IDW60801:IDW60901
94603,Badgingarra,-30.34,115.54,275,IDW60801
94604,Bunbury,-33.36,115.64,5.2,IDW60701:IDW60801
94605,Mandurah,-32.52,115.71,3,IDW60701:IDW60801:IDW60901
94607,Ocean Reef,-31.76,115.73,10,IDW60701:IDW60801:IDW60901
94608,Perth,-31.92,115.87,24.9,IDW60801:IDW60901
94609,Jandakot,-32.1,115.88,30,IDW60801:IDW60901
94610,Perth Airport,-31.93,115.98,15.4,IDW60801:IDW60901
94612,Pearce,-31.67,116.02,40,IDW60801:IDW60901
94614,Swanbourne,-31.96,115.76,40.96,IDW60701:IDW60801:IDW60901
94615,Gooseberry Hill,-31.94,116.05,220,IDW60801:IDW60901
94617,Manjimup,-34.25,116.14,286.7,IDW60801
94620,Dwellingup,-32.71,116.06,267,IDW60801
94621,Northam,-31.65,116.66,170,IDW60801
94622,Wongan Hills,-30.89,116.72,283,IDW60801
94623,York,-31.9,116.77,179,IDW60801
94625,Brookton,-32.37,117.01,250,IDW60801
94627,Narrogin,-32.93,117.18,338,IDW60801
94628,Newdegate,-33.11,118.84,320,IDW60801
94630,Mount Barker,-34.62,117.64,300,IDW60801
94631,Rocky Gully South,-34.57,117.01,250,IDW60801
94632,Bencubbin,-30.81,117.86,359,IDW60801
